imag_component,real_component,ace_imag,ace_real,ala_imag,ala_real,asc_imag,asc_real,asp_imag,asp_real,cr_imag,cr_real,gaba_imag,gaba_real,glc_imag,glc_real,gln_imag,gln_real,glu_imag,glu_real,gly_imag,gly_real,gpc_imag,gpc_real,gsh_imag,gsh_real,ins_imag,ins_real,lac_imag,lac_real,mac_imag,mac_real,naa_imag,naa_real,naag_imag,naag_real,pcho_imag,pcho_real,pcr_imag,pcr_real,pe_imag,pe_real,tau_imag,tau_real
-40.819956,22.765662,2.3898,1.58838,-0.0298199,1.91841,-2.88662,0.763205,0.138764,-1.01751,-1.97131,-2.77214,1.86449,-0.656583,-3.70538,-1.62639,1.7833,-0.561842,2.09225,-0.24279,-1.70535,-1.14045,-10.1465,-7.99893,-0.358981,-1.9943,-3.95224,-1.89271,-0.805732,2.34827,4.60475,6.75955,3.26425,0.821377,5.5227,1.81403,-5.62794,-8.27751,-1.98915,-2.69088,-2.16205,-1.16755,-2.0618,-3.13586
-0.2603052,46.866823,1.28714,2.58711,-1.18278,1.66536,-2.75517,0.350164,0.524628,-0.745583,-0.989355,-2.89533,1.80017,0.196418,-3.01756,-2.35786,1.75504,0.441958,1.87612,0.895731,-1.35735,-1.46445,-7.46492,-9.58025,0.310005,-1.28788,-3.33236,-2.56567,-1.98394,1.62532,-1.59714,7.47864,2.60665,2.40079,4.25068,4.46759,-3.02928,-9.14929,-1.01999,-2.81544,-1.7169,-1.49541,-1.13318,-3.52382
54.359875,46.490525,-0.188632,2.91147,-2.00554,0.798007,-2.59337,0.0234758,0.736127,-0.326792,-0.0958681,-2.6774,1.3746,0.887745,-2.25114,-2.87146,1.24803,1.31943,1.12915,1.80232,-0.981173,-1.65911,-4.60224,-10.3506,0.524331,-0.462977,-2.63287,-3.03239,-2.52763,0.361435,-6.23615,4.65032,1.27805,3.47949,1.8722,6.19452,-0.366533,-9.23569,-0.137845,-2.60142,-1.25796,-1.65185,-0.173321,-3.61781
78.622103,11.595808,-1.65406,2.44123,-2.21185,-0.399524,-2.44467,-0.25859,0.718162,0.127166,0.590075,-2.20767,0.710404,1.26433,-1.48306,-3.20078,0.366774,1.84544,0.0128164,2.23596,-0.630216,-1.76475,-1.8014,-10.349,0.299203,0.246885,-1.92713,-3.32698,-2.24983,-0.972997,-7.94464,0.208247,-0.403318,3.7867,-1.04076,6.57588,2.1226,-8.59597,0.538781,-2.13722,-0.853151,-1.68372,0.718854,-3.46215
88.004583,-18.854892,-2.69468,1.26889,-1.71445,-1.53025,-2.29884,-0.549194,0.494251,0.493359,1.02125,-1.60852,0.0023128,1.25379,-0.737053,-3.39911,-0.670721,1.86969,-1.19593,2.05983,-0.304697,-1.83546,0.756983,-9.67958,-0.228533,0.648526,-1.2355,-3.5023,-1.26677,-1.89078,-6.82641,-3.7886,-2.01043,3.24117,-3.77191,5.51889,4.26653,-7.3536,0.962828,-1.54416,-0.514794,-1.65622,1.50018,-3.12726
79.044689,-55.009271,-2.98744,-0.296504,-0.660509,-2.20644,-2.10465,-0.865977,0.15198,0.693394,1.2155,-0.98176,-0.540567,0.903502,0.0056647,-3.49229,-1.59088,1.37866,-2.17705,1.30105,0.0362565,-1.89232,2.95612,-8.46003,-0.844456,0.656335,-0.536255,-3.58288,0.0468668,-2.06062,-4.06687,-6.01492,-3.12319,1.99611,-5.64414,3.30024,5.96109,-5.64382,1.15186,-0.923068,-0.210349,-1.60517,2.17438,-2.66164
49.847242,-70.881738,-2.41793,-1.80299,0.60237,-2.18059,-1.81453,-1.17208,-0.206558,0.719861,1.21466,-0.381544,-0.773092,0.372185,0.763621,-3.45903,-2.15523,0.507717,-2.66972,0.153855,0.430506,-1.90433,4.71061,-6.79388,-1.33653,0.315276,0.191345,-3.54537,1.19036,-1.42801,-1.1635,-6.24702,-3.46103,0.407099,-6.21002,0.501306,7.13684,-3.58549,1.147,-0.327274,0.0945165,-1.51684,2.75075,-2.07099
24.586026,-80.521103,-1.13851,-2.79534,1.63339,-1.44489,-1.4272,-1.39954,-0.514538,0.618041,1.04278,0.171153,-0.671679,-0.131791,1.5141,-3.25323,-2.23998,-0.508504,-2.55802,-1.0835,0.870866,-1.81171,5.93323,-4.78283,-1.56933,-0.234011,0.92594,-3.34107,1.71846,-0.243631,0.798803,-5.17087,-2.97666,-1.0775,-5.38066,-2.1563,7.72536,-1.29244,0.971294,0.222693,0.39455,-1.34964,3.20432,-1.3388
4.2262254,-88.295896,0.469045,-2.97099,2.05549,-0.254917,-0.995754,-1.49738,-0.756938,0.439963,0.696067,0.649159,-0.33686,-0.43698,2.18633,-2.85059,-1.86456,-1.42321,-1.8985,-2.11066,1.29751,-1.57366,6.53274,-2.5613,-1.51397,-0.826423,1.5971,-2.94279,1.41418,1.0188,1.53573,-3.82368,-1.86667,-2.06345,-3.44162,-4.02129,7.65646,1.09246,0.619792,0.699647,0.637523,-1.08031,3.46973,-0.471035
-21.038126,-81.164997,1.91996,-2.28609,1.70754,0.948639,-0.595037,-1.46804,-0.946392,0.206953,0.171042,0.990419,0.0619648,-0.47424,2.69498,-2.28334,-1.15955,-2.05664,-0.880198,-2.71701,1.63105,-1.20437,6.44852,-0.318457,-1.22395,-1.33753,2.11876,-2.37984,0.38708,1.83771,1.4891,-2.99462,-0.493319,-2.33312,-0.950208,-4.69273,6.89201,3.37578,0.0878502,1.041,0.757013,-0.73821,3.47478,0.471233
-42.019992,-79.35465,2.79114,-0.965159,0.724263,1.70425,-0.272859,-1.3646,-1.08179,-0.0916163,-0.493421,1.10667,0.367513,-0.287087,2.98937,-1.63568,-0.299501,-2.33051,0.255437,-2.82365,1.82172,-0.769868,5.69733,1.71889,-0.781102,-1.70851,2.43853,-1.73375,-0.952342,1.8537,1.40354,-2.86611,0.745128,-1.89465,1.44172,-4.10799,5.47181,5.33092,-0.586578,1.15746,0.720806,-0.400568,3.18925,1.37845
-57.84379,-53.494615,2.85543,0.586703,-0.503108,1.71799,-0.0217106,-1.25119,-1.12536,-0.464923,-1.19601,0.926688,0.495409,0.0124822,3.0818,-1.00226,0.55759,-2.25233,1.28999,-2.46836,1.87787,-0.347686,4.39571,3.33913,-0.251001,-1.92717,2.56601,-1.09706,-2.04745,1.02934,1.82624,-3.03763,1.53736,-0.947453,3.1695,-2.52024,3.53504,6.75104,-1.3027,0.976397,0.558207,-0.15095,2.65213,2.13602
-74.549891,-31.216708,2.13508,1.92556,-1.48034,0.991902,0.2079,-1.15638,-1.01865,-0.881763,-1.79528,0.443798,0.445313,0.309639,3.03363,-0.43986,1.29523,-1.8752,2.06655,-1.75907,1.85274,0.0202539,2.73744,4.40335,0.326205,-1.99145,2.55914,-0.525197,-2.42589,-0.318271,2.78742,-2.87585,1.72949,0.205973,3.88265,-0.394043,1.29674,7.50642,-1.91904,0.48943,0.345266,-0.0311489,1.95628,2.67423
-79.451392,-2.774765,0.866403,2.70272,-1.81512,-0.171848,0.462925,-1.05488,-0.726792,-1.26014,-2.16292,-0.267761,0.26739,0.532251,2.90996,0.0525184,1.82966,-1.26818,2.49001,-0.832312,1.79994,0.346609,0.937167,4.87168,0.914259,-1.88949,2.47912,-0.0167865,-1.90812,-1.63996,3.81254,-1.95207,1.33221,1.2552,3.49378,1.72947,-1.00945,7.57039,-2.30662,-0.230924,0.15845,-0.0217686,1.2012,2.98928
-59.990181,21.485653,-0.59268,2.74556,-1.38077,-1.29788,0.746041,-0.891164,-0.277118,-1.49792,-2.23333,-1.0809,0.016683,0.654794,2.73664,0.511329,2.0937,-0.514286,2.51349,0.163298,1.73156,0.675666,-0.824784,4.78402,1.45718,-1.61162,2.34768,0.463919,-0.695202,-2.38767,4.23443,-0.343879,0.485716,1.94964,2.16193,3.35365,-3.18737,6.99955,-2.39851,-1.05911,0.030864,-0.0652247,0.447856,3.12165
-38.406809,44.400366,-1.86651,2.07435,-0.362858,-1.93849,1.00842,-0.626785,0.238911,-1.52552,-2.01687,-1.86968,-0.27026,0.671695,2.49159,0.962098,2.04027,0.275293,2.13742,1.06701,1.61057,1.03658,-2.42377,4.21323,1.88161,-1.18,2.13875,0.940614,0.712567,-2.25551,3.61435,1.37684,-0.586612,2.13308,0.238321,4.11554,-5.10034,5.88616,-2.20312,-1.87034,-0.0571187,-0.113077,-0.292236,3.10972
-4.5377709,55.307495,-2.64467,0.873595,0.829452,-1.85561,1.18252,-0.275447,0.705232,-1.34389,-1.57077,-2.55263,-0.565526,0.571662,2.13593,1.38491,1.66964,0.959254,1.4266,1.71441,1.38325,1.40883,-3.77165,3.22663,2.12932,-0.664935,1.80992,1.39047,1.73431,-1.31554,2.04204,2.44259,-1.61951,1.7599,-1.80634,3.84615,-6.65246,4.31873,-1.77532,-2.58361,-0.147146,-0.161651,-1.02813,2.95471
24.950065,39.561808,-2.73696,-0.557151,1.74089,-1.10367,1.23004,0.100887,1.03632,-1.02082,-0.952166,-3.09772,-0.824956,0.338619,1.66029,1.71844,1.05811,1.39588,0.525127,1.9717,1.02656,1.72654,-4.78093,1.88286,2.19619,-0.165693,1.3491,1.74832,1.96402,0.0173766,0.135432,2.31445,-2.34693,0.90653,-3.47006,2.60643,-7.753,2.3779,-1.16961,-3.16664,-0.256748,-0.249229,-1.74518,2.62363
38.345318,7.1264148,-2.10829,-1.86111,2.05138,0.0144358,1.1689,0.431999,1.21072,-0.648613,-0.18939,-3.49121,-0.978706,-0.0213046,1.11007,1.89971,0.357151,1.49655,-0.358618,1.7872,0.574507,1.91878,-5.34739,0.261862,2.1445,0.23762,0.800076,1.94662,1.34326,1.17433,-1.24377,0.998426,-2.55574,-0.22593,-4.32538,0.690148,-8.29908,0.165429,-0.411731,-3.60454,-0.353899,-0.417589,-2.38138,2.08735
35.672918,-22.071901,-0.896928,-2.69381,1.68418,1.08508,1.05883,0.685392,1.26167,-0.293539,0.70803,-3.69948,-0.953959,-0.45231,0.56964,1.90941,-0.250607,1.27095,-1.00749,1.22831,0.103054,1.95571,-5.37096,-1.50142,2.07273,0.529693,0.246843,1.96107,0.173352,1.6833,-1.42709,-0.919797,-2.15119,-1.33797,-4.13051,-1.42517,-8.19626,-2.16314,0.491083,-3.8617,-0.372429,-0.66792,-2.84455,1.3639
18.201353,-48.269772,0.595919,-2.80702,0.807584,1.74577,0.956702,0.883672,1.23546,0.0274766,1.71121,-3.65773,-0.718098,-0.85019,0.11626,1.78831,-0.620838,0.830724,-1.27163,0.473087,-0.315305,1.86594,-4.80314,-3.21318,2.05784,0.769325,-0.232199,1.82741,-1.03091,1.36496,-0.278033,-2.54492,-1.21008,-2.10197,-2.91251,-3.18889,-7.40557,-4.39548,1.51167,-3.87061,-0.257231,-0.945525,-3.05889,0.53267
-7.0057237,-55.382064,1.96352,-2.1323,-0.251668,1.80451,0.875306,1.08051,1.15067,0.329273,2.73884,-3.29786,-0.310504,-1.10064,-0.222022,1.61206,-0.703658,0.343014,-1.12493,-0.249986,-0.653419,1.7124,-3.68713,-4.65847,2.10736,1.05226,-0.606379,1.61654,-1.76962,0.389284,1.73068,-3.10341,0.0142412,-2.26629,-0.98073,-4.13003,-5.98293,-6.30096,2.56959,-3.55985,-0.0053654,-1.16601,-3.00724,-0.293318
-49.847682,-51.726768,2.80187,-0.82915,-1.13402,1.28279,0.776787,1.3137,0.989693,0.617531,3.65935,-2.5965,0.164368,-1.13345,-0.473666,1.44276,-0.552956,-0.0420734,-0.668805,-0.746536,-0.936769,1.54506,-2.1596,-5.66101,2.15362,1.44985,-0.90006,1.38661,-1.76108,-0.819374,3.75292,-2.30435,1.1562,-1.75357,1.15161,-4.00219,-4.08018,-7.69098,3.53322,-2.90246,0.327959,-1.26427,-2.73775,-1.01805
-72.069209,-27.96683,2.84191,0.737747,-1.56229,0.385904,0.60536,1.57101,0.727505,0.859427,4.33243,-1.60752,0.583296,-0.956675,-0.691195,1.29344,-0.28475,-0.248218,-0.0803817,-0.921273,-1.21134,1.36639,-0.409786,-6.12819,2.09443,1.96315,-1.16037,1.14779,-1.0365,-1.77206,4.97842,-0.45573,1.8577,-0.704207,2.92005,-2.86187,-1.90326,-8.46436,4.26106,-1.94876,0.663257,-1.23046,-2.33033,-1.60023
-79.653652,-1.11537,2.05323,2.10247,-1.41691,-0.573745,0.334361,1.79488,0.373389,0.991151,4.66381,-0.453193,0.861694,-0.646419,-0.904092,1.13121,-0.0127191,-0.283292,0.464348,-0.791198,-1.49708,1.13544,1.37841,-6.05468,1.85276,2.52145,-1.41033,0.865831,0.0990278,-2.11022,5.00559,1.72913,1.89521,0.563424,3.88053,-1.04503,0.346616,-8.611,4.65663,-0.817798,0.945388,-1.10672,-1.84779,-2.05189
-69.97764,34.725164,0.668222,2.85179,-0.762567,-1.27269,-0.0081698,1.92228,-0.0093996,0.958443,4.63691,0.722066,0.984725,-0.298869,-1.0928,0.915783,0.198491,-0.204346,0.849269,-0.447778,-1.76269,0.807079,3.06467,-5.48738,1.41629,3.02325,-1.62325,0.500859,1.20497,-1.72903,3.97143,3.5062,1.25738,1.663,3.83356,0.948142,2.51207,-8.17673,4.70024,0.348556,1.17102,-0.94831,-1.30788,-2.40115
-51.394535,58.110986,-0.892302,2.76738,0.171996,-1.47147,-0.354837,1.92968,-0.324604,0.759967,4.30136,1.80457,0.992896,0.0225193,-1.2034,0.643195,0.337562,-0.0673978,1.03177,0.0008202,-1.94123,0.376227,4.55044,-4.48158,0.83366,3.38889,-1.73777,0.0513135,1.8769,-0.794469,2.40696,4.44952,0.139987,2.27205,2.85836,2.61013,4.47851,-7.21915,4.43768,1.43821,1.37534,-0.779065,-0.695547,-2.64914
-30.722461,71.752423,-2.16386,1.89571,1.05827,-1.09147,-0.643648,1.84917,-0.492256,0.459863,3.7294,2.73604,0.935276,0.30866,-1.19134,0.360938,0.415619,0.101641,1.01686,0.469303,-1.97492,-0.106837,5.74739,-3.08226,0.176004,3.58912,-1.70216,-0.430855,1.88699,0.334997,0.898724,4.5908,-1.13288,2.22864,1.2576,3.56239,6.1433,-5.78838,3.93696,2.39338,1.58938,-0.575204,-0.0043104,-2.75504
-7.9300545,79.139819,-2.792,0.518703,1.56902,-0.252584,-0.858437,1.74359,-0.491943,0.158007,2.97396,3.49736,0.826257,0.582759,-1.06081,0.142371,0.431398,0.298902,0.822345,0.898424,-1.85552,-0.562105,6.54894,-1.34272,-0.503916,3.63408,-1.51411,-0.865778,1.25329,1.24348,-0.220147,4.2922,-2.2191,1.55976,-0.549126,3.62942,7.38777,-3.94511,3.24676,3.19416,1.80157,-0.289536,0.726782,-2.66108
21.195016,68.469685,-2.63323,-0.954369,1.49425,0.750484,-1.03463,1.65965,-0.36937,-0.0623922,2.05883,4.06923,0.63796,0.854235,-0.869166,0.0394375,0.362547,0.511811,0.465544,1.23407,-1.62982,-0.927472,6.83434,0.637843,-1.1845,3.53837,-1.22575,-1.19312,0.225462,1.60286,-0.991782,3.95067,-2.85147,0.446187,-2.13524,2.84601,8.0815,-1.79746,2.38698,3.81934,1.95373,0.102789,1.41081,-2.33872
39.542759,51.929205,-1.77293,-2.12135,0.832264,1.54155,-1.22627,1.59449,-0.202104,-0.173591,1.00552,4.40476,0.333049,1.08577,-0.692745,0.0491072,0.188961,0.697343,-0.0213688,1.41222,-1.36627,-1.19288,6.50835,2.69246,-1.85408,3.29462,-0.909865,-1.40592,-0.803621,1.28641,-1.70441,3.72258,-2.88675,-0.844111,-3.15009,1.42116,8.12219,0.477897,1.37586,4.219,1.97533,0.572361,1.94897,-1.82058
48.765915,45.721583,-0.47143,-2.69472,-0.189503,1.80371,-1.45961,1.50087,-0.0499827,-0.202604,-0.128042,4.43828,-0.0878589,1.20021,-0.579128,0.118728,-0.073802,0.79215,-0.567625,1.3718,-1.10799,-1.39577,5.55102,4.60457,-2.47801,2.87934,-0.61265,-1.54564,-1.43529,0.41791,-2.61662,3.43914,-2.31433,-2.02037,-3.37153,-0.314159,7.48523,2.65453,0.269118,4.3237,1.83088,1.04246,2.27961,-1.19307
58.772784,28.332935,0.924077,-2.55533,-1.18817,1.41392,-1.70845,1.32672,0.0739911,-0.194526,-1.23122,4.12619,-0.561081,1.12399,-0.521398,0.186112,-0.362569,0.750122,-1.06145,1.09074,-0.847479,-1.58192,4.04186,6.16108,-2.98606,2.28681,-0.32824,-1.66257,-1.4123,-0.663741,-3.71213,2.75474,-1.24539,-2.81761,-2.73979,-1.96406,6.24765,4.50989,-0.82367,4.08554,1.54495,1.43061,2.40463,-0.55404
47.773786,5.7471808,2.06563,-1.75668,-1.77507,0.50719,-1.91009,1.05907,0.192938,-0.169726,-2.16491,3.48929,-0.977531,0.836432,-0.473074,0.224123,-0.591485,0.578677,-1.38278,0.617285,-0.541794,-1.76197,2.13978,7.20893,-3.2961,1.56251,-0.0138587,-1.77188,-0.726007,-1.52274,-4.6407,1.42585,0.102828,-3.0367,-1.3783,-3.13552,4.56762,5.88234,-1.76316,3.52097,1.1861,1.69444,2.3747,0.0341626
48.762684,-10.794988,2.67235,-0.499985,-1.71973,-0.568731,-2.0097,0.738805,0.326873,-0.108175,-2.81326,2.62363,-1.23233,0.389719,-0.391718,0.256364,-0.699838,0.343262,-1.45606,0.0671182,-0.156094,-1.89671,0.0312091,7.68103,-3.36027,0.805326,0.366499,-1.83851,0.363911,-1.79446,-4.90078,-0.445146,1.43178,-2.58749,0.410841,-3.52264,2.63212,6.69733,-2.43203,2.72201,0.821893,1.84829,2.24512,0.562674
27.752383,-24.058994,2.58272,0.905731,-1.05134,-1.3961,-1.99962,0.43511,0.457836,0.0276446,-3.12877,1.6689,-1.27278,-0.11385,-0.2777,0.332636,-0.688958,0.132044,-1.28874,-0.420352,0.297902,-1.92273,-2.11952,7.57924,-3.20009,0.130458,0.803388,-1.80243,1.4189,-1.3412,-4.13801,-2.37196,2.41146,-1.53108,2.19684,-2.99504,0.606793,6.9505,-2.78017,1.82497,0.478531,1.93921,2.03598,1.05363
17.885267,-26.047829,1.79578,2.09978,-0.0462877,-1.66405,-1.92391,0.198808,0.528454,0.2501,-3.14029,0.754251,-1.11346,-0.570361,-0.178479,0.483385,-0.619973,0.002847,-0.9673,-0.743108,0.75819,-1.79886,-4.18692,6.93311,-2.90209,-0.385048,1.23788,-1.62482,1.99687,-0.325056,-2.40944,-3.6748,2.76224,-0.0971407,3.523,-1.65674,-1.38129,6.66635,-2.83305,0.956656,0.134892,2.00156,1.7263,1.51631
3.7546159,-17.470839,0.492001,2.74879,0.893703,-1.29657,-1.84487,0.0297649,0.476882,0.518604,-2.92061,-0.0424281,-0.812403,-0.914352,-0.155077,0.688214,-0.571604,-0.0509132,-0.610588,-0.877167,1.14677,-1.5384,-6.06417,5.76906,-2.57321,-0.737349,1.59545,-1.32014,1.84385,0.84612,-0.236361,-3.82309,2.34966,1.35153,4.0392,0.161528,-3.22383,5.86719,-2.6596,0.193769,-0.245626,2.0252,1.28565,1.91686
-9.1432329,-7.3187679,-0.987729,2.64234,1.41384,-0.473172,-1.79685,-0.117228,0.282573,0.750393,-2.53872,-0.696716,-0.430702,-1.12539,-0.236175,0.88282,-0.586354,-0.0908498,-0.309604,-0.871531,1.41648,-1.20275,-7.63018,4.11433,-2.28424,-0.986766,1.83247,-0.949739,1.01385,1.68771,1.58933,-2.72014,1.25097,2.41461,3.61495,1.98991,-4.79864,4.57682,-2.32485,-0.439149,-0.670744,1.96169,0.717833,2.18592
-1.6233283,8.6083663,-2.22145,1.77575,1.34726,0.461679,-1.76242,-0.292851,-0.0118906,0.864487,-2.03186,-1.20516,-0.0076916,-1.20354,-0.394667,0.999554,-0.642367,-0.186968,-0.091944,-0.803174,1.57548,-0.86118,-8.73788,2.03102,-2.03876,-1.21061,1.96025,-0.581655,-0.146147,1.85112,2.35472,-0.811057,-0.247042,2.78251,2.38279,3.36174,-5.95809,2.85411,-1.86247,-0.937305,-1.09717,1.76378,0.0821346,2.25921
5.1283978,17.723967,-2.83302,0.378299,0.764312,1.1498,-1.68857,-0.510147,-0.320447,0.828051,-1.41579,-1.54766,0.431294,-1.14021,-0.56456,1.01134,-0.670148,-0.366429,0.0688554,-0.72467,1.67141,-0.546908,-9.24067,-0.349477,-1.78712,-1.45036,2.02888,-0.246945,-1.14651,1.28095,1.76833,1.08724,-1.73039,2.34433,0.690473,3.95495,-6.55552,0.827109,-1.28536,-1.2782,-1.44848,1.4279,-0.525789,2.12099
28.594779,16.554288,-2.62356,-1.14176,-0.0802595,1.35815,-1.53062,-0.730666,-0.561675,0.672046,-0.721177,-1.67688,0.846141,-0.913263,-0.685628,0.946137,-0.60141,-0.593182,0.210927,-0.640116,1.74782,-0.242452,-9.04362,-2.8238,-1.47327,-1.68868,2.08344,0.0747286,-1.57302,0.23927,0.117547,2.1328,-2.79132,1.22626,-1.01673,3.67657,-6.49632,-1.30468,-0.622385,-1.41135,-1.66038,1.00704,-1.02048,1.81743
38.281409,7.1840043,-1.65012,-2.32654,-0.864088,1.04882,-1.2903,-0.890368,-0.701367,0.465478,-0.0236897,-1.54498,1.16251,-0.513842,-0.742396,0.861506,-0.415091,-0.791158,0.342786,-0.522513,1.80617,0.0953651,-8.14566,-5.15529,-1.07982,-1.86926,2.12576,0.429738,-1.269,-0.815918,-1.83601,1.8349,-3.15674,-0.256469,-2.33151,2.66315,-5.77969,-3.30924,0.0513678,-1.28541,-1.71983,0.583568,-1.36727,1.42969
42.835017,-14.379984,-0.211501,-2.82408,-1.31894,0.365474,-1.01912,-0.945673,-0.760032,0.267929,0.560588,-1.14787,1.28621,0.0160174,-0.768448,0.798725,-0.149095,-0.892439,0.433942,-0.354705,1.80232,0.490252,-6.64318,-7.13341,-0.640381,-1.94146,2.11094,0.844955,-0.395724,-1.43818,-3.1797,0.283176,-2.75976,-1.70903,-2.98494,1.21178,-4.502,-4.98157,0.619107,-0.892825,-1.66909,0.221683,-1.58764,1.02617
37.641644,-39.344094,1.25619,-2.50494,-1.31095,-0.439379,-0.784437,-0.904844,-0.78218,0.0954617,0.91604,-0.552382,1.1495,0.568453,-0.813397,0.751422,0.127526,-0.875196,0.442267,-0.159522,1.68029,0.915918,-4.69275,-8.61812,-0.213814,-1.89523,1.9811,1.29686,0.65282,-1.3858,-3.24297,-1.88179,-1.73443,-2.77702,-2.88576,-0.31708,-2.81894,-6.18809,0.963297,-0.297498,-1.57195,-0.0654981,-1.72684,0.629084
